sk8tag,name,lat,lon
sk866jduww,skatepark,-33.2299742,-70.8091948
sk866jepdc,skatepark,-33.2068137,-70.68436
sk866jesbd,skatepark,-33.1315164,-70.8034634
sk866jf0wn,skatepark,-33.3647419,-70.6332638
sk866jf4fg,skatepark,-33.3827491,-70.5382006
sk866jf5wr,Skatepark Lo Barnechea,-33.3627756,-70.5002373
sk866jh422,Skate,-33.0447504,-71.6197641
sk866jhhn7,Skatepark Sausalito,-33.0123624,-71.5379828
sk866jhhsr,Skatepark,-33.0224796,-71.5102878
sk866jhn36,Pista skate,-33.0387281,-71.4410864
sk866jjkxb,Skatepark Quintero,-32.7844548,-71.5200539
sk866jk64u,Parque Patinaje Limache,-32.9868349,-71.2729953
sk866jkf6n,Skatepark Quillota,-32.9029197,-71.2593594
sk866jkfqu,Skatepark del Parque Aconcagua,-32.8770169,-71.2616927
sk866jm7rx,Skatepark Villa Santo Domingo,-32.7847553,-71.2141982
sk866jmmjd,Skatepark Hijuelas,-32.7964832,-71.1435266
sk866jt1q6,skatepark,-32.8362221,-70.9571593
sk866nf4sd,Skate Park Tupungato,-33.3735581,-69.1450092
sk866ph6m2,Skatepark Maipu,-32.9731893,-68.8060555
sk866ph9hy,San Vicente Skatepark,-32.9315953,-68.8532757
sk866pj183,skatepark,-32.8694433,-68.8388818
sk866r7yj6,skatepark,-31.655686,-68.2878572
sk866rhx5d,Skatepark,-31.5321634,-68.5946119
sk866rk0s6,Skatepark de Pocito,-31.6163578,-68.52939
sk866rk3wm,skatepark,-31.5613403,-68.4813781
sk866rk878,Skate Park,-31.5326349,-68.5427831
sk866rk949,skatepark,-31.5376578,-68.5090519
sk866t2ddf,skatepark,-30.8344251,-71.2534667
sk866t3uhb,skatepark,-30.6025121,-71.1913048
sk866tm2wb,Skatepark Sindempart,-29.9772929,-71.3449744
sk866tm88n,skatepark,-29.9698119,-71.3361286
sk866tm966,Skatepark Peñuelas,-29.957235,-71.3090566
sk866tmdwb,Skatepark Cuatro Esquinas,-29.9328713,-71.2565708
sk866tmf6q,skatepark,-29.9141593,-71.2600243
sk866tmfgm,skatepark,-29.908139,-71.2389457
sk866tmfs3,Skatepark,-29.9026936,-71.2547331
sk866tmfxj,skatepark,-29.8880098,-71.2496215
sk866tmgr6,Skatepark Parque Lambert,-29.886802,-71.2211647
sk866tq4gj,skatepark,-29.8656461,-71.2390484
sk866tq52e,Skatepark Parque Deportivo Los Llanos,-29.8786946,-71.2199903
sk866tq52j,skatepark,-29.8819946,-71.2164406
